FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE
Success,N264220004015957,a0j8p000001zqVD,Paid,2022-09-23T11:32:44Z
Success,N264220004015982,a0j8p00000203Km,Paid,2022-09-23T11:32:44Z
Success,N264220004015761,a0j8p000001zl5S,Paid,2022-09-23T11:32:44Z
Success,N264220004015863,a0j8p000001v14p,Paid,2022-09-23T11:32:44Z
Success,N264220004016107,a0j8p00000203mH,Paid,2022-09-23T11:32:44Z
Success,N264220004016072,a0j8p000001zdnI,Paid,2022-09-23T11:32:44Z
Success,N264220004015973,a0j8p000001zZrp,Paid,2022-09-23T11:32:44Z
Success,N264220004015792,a0j8p000001zwxf,Paid,2022-09-23T11:32:44Z
Success,N264220004016216,a0j8p000001zx8V,Paid,2022-09-23T11:32:44Z
Rejected,N264220004015981,a0j8p000001zyY7,Blocked Account,2022-09-23T11:32:44Z
Success,N264220004015793,a0j8p000001zwog,Paid,2022-09-23T11:32:44Z
Success,N264220004015926,a0j8p000001zcAt,Paid,2022-09-23T11:32:44Z
Success,N264220004015988,a0j8p000001zhuh,Paid,2022-09-23T11:32:44Z
Success,N264220004015801,a0j8p000001zmLg,Paid,2022-09-23T11:32:44Z
Success,N264220004015951,a0j8p000001zlef,Paid,2022-09-23T11:32:44Z
Success,N264220004016010,a0j8p000001zStL,Paid,2022-09-23T11:32:44Z
Success,N264220004015755,a0j8p000001zS2n,Paid,2022-09-23T11:32:44Z
Success,N264220004015757,a0j8p000001zhNw,Paid,2022-09-23T11:32:44Z
Success,N264220004016096,a0j8p000001yXm2,Paid,2022-09-23T11:32:44Z
Success,N264220004015931,a0j8p000001zfSO,Paid,2022-09-23T11:32:44Z
Success,N264220004015906,a0j8p000001zZt2,Paid,2022-09-23T11:32:44Z
Success,N264220004016287,a0j8p000001zqXB,Paid,2022-09-23T11:32:44Z
Success,N264220004016184,a0j8p000001zkOb,Paid,2022-09-23T11:32:44Z
Success,N264220004015822,a0j8p000001y4aP,Paid,2022-09-23T11:32:44Z
