ID,FT_STATUS,UTR_NUMBER,ID,REMARKS,FT_INNITIATED_DATE,STATUS
a0j8p000001msfEAAQ,Success,N253220003969906,a0j8p000001msfEAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mvfZAAQ,Success,N253220003970128,a0j8p000001mvfZAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mBLCAA2,Success,N253220003970104,a0j8p000001mBLCAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mBvfAAE,Success,N253220003969807,a0j8p000001mBvfAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mAXRAA2,Success,N253220003969752,a0j8p000001mAXRAA2,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mDG0AAM,Success,N253220003969945,a0j8p000001mDG0AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001lvllAAA,Success,N253220003969753,a0j8p000001lvllAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mstNAAQ,Success,N253220003970123,a0j8p000001mstNAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mOqiAAE,Success,N253220003969847,a0j8p000001mOqiAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mSS7AAM,Success,N253220003969846,a0j8p000001mSS7AAM,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001mS0cAAE,Success,N253220003969991,a0j8p000001mS0cAAE,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n3PtAAI,Success,N253220003969851,a0j8p000001n3PtAAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n3rKAAQ,Success,N253220003969874,a0j8p000001n3rKAAQ,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001n2QLAAY,Success,N253220003970074,a0j8p000001n2QLAAY,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001noowAAA,Success,N253220003969792,a0j8p000001noowAAA,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001msX6AAI,Success,N253220003969817,a0j8p000001msX6AAI,Paid,2022-09-12T06:35:28Z,Item Updated
a0j8p000001nH3uAAE,Success,N253220003969892,a0j8p000001nH3uAAE,Paid,2022-09-12T06:35:28Z,Item Updated
